"filename", "language", "Shell Script", "Properties", "LinkerScript", "Markdown", "C", "Makefile", "GAS/AT&T x86/x64", "C++", "Diff", "comment", "blank", "total"
"/home/christian/src/micro/Makefile", "Makefile", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 3
"/home/christian/src/micro/README.md", "Markdown", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 7, 40
"/home/christian/src/micro/boot/Makefile", "Makefile", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 2, 13
"/home/christian/src/micro/boot/stage1/Makefile", "Makefile", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 5, 20
"/home/christian/src/micro/boot/stage1/bootsect.S", "GAS/AT&T x86/x64", 0, 0, 0, 0, 0, 0, 107, 0, 0, 7, 36, 150
"/home/christian/src/micro/boot/stage1/linker.ld", "LinkerScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 1, 12
"/home/christian/src/micro/boot/stage2/Makefile", "Makefile", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 7, 23
"/home/christian/src/micro/boot/stage2/entry.c", "C", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 5
"/home/christian/src/micro/boot/stage2/linker.ld", "LinkerScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"/home/christian/src/micro/boot/tools/Makefile", "Makefile", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"/home/christian/src/micro/boot/tools/mkimage.c", "C", 0, 0, 0, 0, 29, 0, 0, 0, 0, 2, 11, 42
"/home/christian/src/micro/build/build-emu-disk.sh", "Shell Script", 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 11
"/home/christian/src/micro/build/build-everything.sh", "Shell Script", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"/home/christian/src/micro/build/build-hdd.sh", "Shell Script", 19, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 33
"/home/christian/src/micro/build/build-initrd.sh", "Shell Script", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"/home/christian/src/micro/build/build-limine.sh", "Shell Script", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 28
"/home/christian/src/micro/build/burn-usb.sh", "Shell Script", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/home/christian/src/micro/build/configure.sh", "Shell Script", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/christian/src/micro/build/imgmnt/limine.cfg", "Properties", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/home/christian/src/micro/build/limine.cfg", "Properties", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"/home/christian/src/micro/build/mkcross.sh", "Shell Script", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/christian/src/micro/build/uefi-hdd.sh", "Shell Script", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"/home/christian/src/micro/build/uefi.sh", "Shell Script", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"/home/christian/src/micro/kernel/Makefile", "Makefile", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 12, 42
"/home/christian/src/micro/kernel/arch/amd64/amd64.mk", "Makefile", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 2, 23
"/home/christian/src/micro/kernel/arch/amd64/amd64/amd64.S", "GAS/AT&T x86/x64", 0, 0, 0, 0, 0, 0, 19, 0, 0, 9, 8, 36
"/home/christian/src/micro/kernel/arch/amd64/amd64/ap_start.S", "GAS/AT&T x86/x64", 0, 0, 0, 0, 0, 0, 80, 0, 0, 5, 29, 114
