Date : 2021-09-19 10:20:46
Directory : /home/christian/src/micro
Total : 312 files,  10983 codes, 503 comments, 2747 blanks, all 14233 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| C                |        166 |      7,184 |        370 |      1,893 |      9,447 |
| C++              |         87 |      2,383 |         81 |        572 |      3,036 |
| Makefile         |         29 |        468 |         10 |        114 |        592 |
| GAS/AT&T x86/x64 |          7 |        403 |         30 |        106 |        539 |
| Diff             |          2 |        248 |          5 |          8 |        261 |
| LinkerScript     |          7 |        153 |          0 |         23 |        176 |
| Shell Script     |         10 |         84 |          7 |         18 |        109 |
| Markdown         |          2 |         38 |          0 |         10 |         48 |
| Properties       |          2 |         22 |          0 |          3 |         25 |
+------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                             | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                |        312 |     10,983 |        503 |      2,747 |     14,233 |
| boot                                                                             |          9 |        211 |          9 |         65 |        285 |
| boot/stage1                                                                      |          3 |        133 |          7 |         42 |        182 |
| boot/stage2                                                                      |          3 |         31 |          0 |          8 |         39 |
| boot/tools                                                                       |          2 |         36 |          2 |         13 |         51 |
| build                                                                            |         11 |        105 |          6 |         20 |        131 |
| build/imgmnt                                                                     |          1 |          7 |          0 |          2 |          9 |
| kernel                                                                           |        128 |      7,406 |        314 |      1,927 |      9,647 |
| kernel/arch                                                                      |         37 |      2,060 |         72 |        498 |      2,630 |
| kernel/arch/amd64                                                                |         37 |      2,060 |         72 |        498 |      2,630 |
| kernel/arch/amd64/amd64                                                          |         19 |      1,515 |         59 |        361 |      1,935 |
| kernel/arch/amd64/include                                                        |         17 |        525 |         13 |        135 |        673 |
| kernel/arch/amd64/include/arch                                                   |         17 |        525 |         13 |        135 |        673 |
| kernel/dev                                                                       |         14 |      1,629 |         81 |        465 |      2,175 |
| kernel/dev/ahci                                                                  |          3 |        481 |          8 |        141 |        630 |
| kernel/dev/ext2                                                                  |          3 |        599 |         53 |        169 |        821 |
| kernel/dev/fat                                                                   |          3 |        493 |         20 |        144 |        657 |
| kernel/dev/test                                                                  |          2 |         19 |          0 |          4 |         23 |
| kernel/include                                                                   |         37 |        877 |         20 |        204 |      1,101 |
| kernel/include/micro                                                             |         28 |        697 |         13 |        181 |        891 |
| kernel/include/uapi                                                              |          9 |        180 |          7 |         23 |        210 |
| kernel/include/uapi/micro                                                        |          9 |        180 |          7 |         23 |        210 |
| kernel/kern                                                                      |         37 |      2,734 |        138 |        724 |      3,596 |
| kernel/kern/debug                                                                |          3 |        259 |         13 |         83 |        355 |
| kernel/kern/fs                                                                   |          7 |        504 |         23 |        146 |        673 |
| kernel/kern/mm                                                                   |          1 |         56 |          5 |         14 |         75 |
| kernel/tools                                                                     |          1 |         34 |          3 |         11 |         48 |
| share                                                                            |          1 |          5 |          0 |          3 |          8 |
| toolchain                                                                        |          3 |        249 |          6 |          9 |        264 |
| usr                                                                              |        158 |      2,977 |        168 |        715 |      3,860 |
| usr/apps                                                                         |         25 |        765 |         31 |        181 |        977 |
| usr/apps/binutils                                                                |          2 |          5 |          0 |          1 |          6 |
| usr/apps/binutils/ld                                                             |          1 |          3 |          0 |          1 |          4 |
| usr/apps/coreutils                                                               |         11 |        229 |         29 |         50 |        308 |
| usr/apps/ed                                                                      |          2 |        102 |          0 |         33 |        135 |
| usr/apps/sh                                                                      |          3 |        137 |          1 |         28 |        166 |
| usr/apps/term                                                                    |          2 |        194 |          1 |         47 |        242 |
| usr/apps/test                                                                    |          2 |         25 |          0 |          9 |         34 |
| usr/apps/vgaterm                                                                 |          2 |         71 |          0 |         13 |         84 |
| usr/libs                                                                         |        128 |      2,150 |        135 |        522 |      2,807 |
| usr/libs/libc                                                                    |        127 |      2,148 |        135 |        522 |      2,805 |
| usr/libs/libc/ansi                                                               |         19 |        718 |         86 |        205 |      1,009 |
| usr/libs/libc/ansi/generic                                                       |          5 |        475 |         58 |        128 |        661 |
| usr/libs/libc/ansi/include                                                       |         14 |        243 |         28 |         77 |        348 |
| usr/libs/libc/assert                                                             |          1 |          8 |          0 |          1 |          9 |
| usr/libs/libc/ctype                                                              |          9 |         57 |          0 |          9 |         66 |
| usr/libs/libc/elf                                                                |          2 |         32 |          1 |         14 |         47 |
| usr/libs/libc/internal                                                           |          5 |         86 |          4 |         21 |        111 |
| usr/libs/libc/internal/generic                                                   |          2 |         21 |          1 |         11 |         33 |
| usr/libs/libc/internal/include                                                   |          3 |         65 |          3 |         10 |         78 |
| usr/libs/libc/internal/include/libc                                              |          3 |         65 |          3 |         10 |         78 |
| usr/libs/libc/misc                                                               |          1 |          2 |          0 |          1 |          3 |
| usr/libs/libc/posix                                                              |         19 |        312 |         15 |         65 |        392 |
| usr/libs/libc/posix/generic                                                      |          6 |         65 |          5 |         15 |         85 |
| usr/libs/libc/posix/include                                                      |         13 |        247 |         10 |         50 |        307 |
| usr/libs/libc/posix/include/sys                                                  |          8 |         97 |          0 |         19 |        116 |
| usr/libs/libc/stdlib                                                             |         10 |        103 |          4 |         31 |        138 |
| usr/libs/libc/string                                                             |         22 |        291 |          1 |         70 |        362 |
| usr/libs/libc/sysdeps                                                            |         37 |        403 |         22 |         90 |        515 |
| usr/libs/libc/sysdeps/micro                                                      |         37 |        403 |         22 |         90 |        515 |
| usr/libs/libc/sysdeps/micro/generic                                              |         37 |        403 |         22 |         90 |        515 |
| usr/srv                                                                          |          4 |         60 |          2 |         12 |         74 |
| usr/srv/init                                                                     |          3 |         58 |          2 |         12 |         72 |
+----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                         | language         | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| /home/christian/src/micro/Makefile                                               | Makefile         |          2 |          0 |          1 |          3 |
| /home/christian/src/micro/README.md                                              | Markdown         |         28 |          0 |          7 |         35 |
| /home/christian/src/micro/boot/Makefile                                          | Makefile         |         11 |          0 |          2 |         13 |
| /home/christian/src/micro/boot/stage1/Makefile                                   | Makefile         |         15 |          0 |          5 |         20 |
| /home/christian/src/micro/boot/stage1/bootsect.S                                 | GAS/AT&T x86/x64 |        107 |          7 |         36 |        150 |
| /home/christian/src/micro/boot/stage1/linker.ld                                  | LinkerScript     |         11 |          0 |          1 |         12 |
| /home/christian/src/micro/boot/stage2/Makefile                                   | Makefile         |         16 |          0 |          7 |         23 |
| /home/christian/src/micro/boot/stage2/entry.c                                    | C                |          5 |          0 |          0 |          5 |
| /home/christian/src/micro/boot/stage2/linker.ld                                  | LinkerScript     |         10 |          0 |          1 |         11 |
| /home/christian/src/micro/boot/tools/Makefile                                    | Makefile         |          7 |          0 |          2 |          9 |
| /home/christian/src/micro/boot/tools/mkimage.c                                   | C                |         29 |          2 |         11 |         42 |
| /home/christian/src/micro/build/build-emu-disk.sh                                | Shell Script     |          8 |          1 |          1 |         10 |
| /home/christian/src/micro/build/build-hdd.sh                                     | Shell Script     |         19 |          4 |         10 |         33 |
| /home/christian/src/micro/build/build-initrd.sh                                  | Shell Script     |          1 |          1 |          1 |          3 |
| /home/christian/src/micro/build/build-limine.sh                                  | Shell Script     |         24 |          0 |          3 |         27 |
| /home/christian/src/micro/build/burn-usb.sh                                      | Shell Script     |          1 |          0 |          1 |          2 |
| /home/christian/src/micro/build/configure.sh                                     | Shell Script     |          3 |          0 |          1 |          4 |
| /home/christian/src/micro/build/imgmnt/limine.cfg                                | Properties       |          7 |          0 |          2 |          9 |
| /home/christian/src/micro/build/limine.cfg                                       | Properties       |         15 |          0 |          1 |         16 |
| /home/christian/src/micro/build/mkcross.sh                                       | Shell Script     |          1 |          0 |          0 |          1 |
| /home/christian/src/micro/build/uefi-hdd.sh                                      | Shell Script     |         13 |          0 |          0 |         13 |
| /home/christian/src/micro/build/uefi.sh                                          | Shell Script     |         13 |          0 |          0 |         13 |
| /home/christian/src/micro/kernel/Makefile                                        | Makefile         |         30 |          0 |         11 |         41 |
| /home/christian/src/micro/kernel/arch/amd64/amd64.mk                             | Makefile         |         20 |          0 |          2 |         22 |
| /home/christian/src/micro/kernel/arch/amd64/amd64/amd64.S                        | GAS/AT&T x86/x64 |         19 |          9 |          8 |         36 |
| /home/christian/src/micro/kernel/arch/amd64/amd64/ap_start.S                     | GAS/AT&T x86/x64 |         80 |          5 |         29 |        114 |
| /home/christian/src/micro/kernel/arch/amd64/amd64/context.S                      | GAS/AT&T x86/x64 |         29 |          5 |          8 |         42 |
| /home/christian/src/micro/kernel/arch/amd64/amd64/cpu.c                          | C                |         27 |          0 |          6 |         33 |
| /home/christian/src/micro/kernel/arch/amd64/amd64/entry.c                        | C                |        132 |          3 |         28 |        163 |
| /home/christian/src/micro/kernel/arch/amd64/amd64/except.c                       | C                |        199 |          1 |         38 |        238 |
| /home/christian/src/micro/kernel/arch/amd64/amd64/fpu.c                          | C                |          8 |          1 |          2 |         11 |
| /home/christian/src/micro/kernel/arch/amd64/amd64/gdt.c                          | C                |         47 |          0 |         12 |         59 |
| /home/christian/src/micro/kernel/arch/amd64/amd64/idt.c                          | C                |        113 |          0 |         14 |        127 |
| /home/christian/src/micro/kernel/arch/amd64/amd64/intr_asm.S                     | GAS/AT&T x86/x64 |        134 |          3 |         19 |        156 |
| /home/christian/src/micro/kernel/arch/amd64/amd64/ioapic.c                       | C                |         61 |          2 |         15 |         78 |
| /home/christian/src/micro/kernel/arch/amd64/amd64/lapic.c                        | C                |         70 |          4 |         16 |         90 |
| /home/christian/src/micro/kernel/arch/amd64/amd64/main.c                         | C                |         66 |         10 |         18 |         94 |
| /home/christian/src/micro/kernel/arch/amd64/amd64/mmu.c                          | C                |        335 |         13 |         90 |        438 |
| /home/christian/src/micro/kernel/arch/amd64/amd64/panic.c                        | C                |         13 |          0 |          2 |         15 |
| /home/christian/src/micro/kernel/arch/amd64/amd64/pic.c                          | C                |         37 |          0 |         13 |         50 |
| /home/christian/src/micro/kernel/arch/amd64/amd64/simd.S                         | GAS/AT&T x86/x64 |         23 |          0 |          5 |         28 |
| /home/christian/src/micro/kernel/arch/amd64/amd64/smp.c                          | C                |         75 |          3 |         24 |        102 |
| /home/christian/src/micro/kernel/arch/amd64/amd64/timer.c                        | C                |         47 |          0 |         14 |         61 |
| /home/christian/src/micro/kernel/arch/amd64/include/arch/boot.h                  | C++              |        122 |          0 |         31 |        153 |
| /home/christian/src/micro/kernel/arch/amd64/include/arch/cpu.h                   | C++              |         36 |          1 |         11 |         48 |
| /home/christian/src/micro/kernel/arch/amd64/include/arch/cpu_func.h              | C++              |         83 |          2 |         20 |        105 |
| /home/christian/src/micro/kernel/arch/amd64/include/arch/descs.h                 | C++              |         71 |          7 |         11 |         89 |
| /home/christian/src/micro/kernel/arch/amd64/include/arch/except.h                | C++              |          4 |          0 |          4 |          8 |
| /home/christian/src/micro/kernel/arch/amd64/include/arch/fpu.h                   | C++              |          4 |          0 |          3 |          7 |
| /home/christian/src/micro/kernel/arch/amd64/include/arch/intr_stubs.h            | C++              |         52 |          1 |          4 |         57 |
| /home/christian/src/micro/kernel/arch/amd64/include/arch/ioapic.h                | C++              |          4 |          0 |          3 |          7 |
| /home/christian/src/micro/kernel/arch/amd64/include/arch/lapic.h                 | C++              |         22 |          1 |          9 |         32 |
| /home/christian/src/micro/kernel/arch/amd64/include/arch/mmu.h                   | C++              |         35 |          1 |         13 |         49 |
| /home/christian/src/micro/kernel/arch/amd64/include/arch/mmu_defs.h              | C++              |         21 |          0 |          8 |         29 |
| /home/christian/src/micro/kernel/arch/amd64/include/arch/panic.h                 | C++              |          2 |          0 |          1 |          3 |
| /home/christian/src/micro/kernel/arch/amd64/include/arch/pic.h                   | C++              |          3 |          0 |          2 |          5 |
| /home/christian/src/micro/kernel/arch/amd64/include/arch/pio.h                   | C++              |         33 |          0 |          7 |         40 |
| /home/christian/src/micro/kernel/arch/amd64/include/arch/reg.h                   | C++              |         25 |          0 |          2 |         27 |
| /home/christian/src/micro/kernel/arch/amd64/include/arch/smp.h                   | C++              |          2 |          0 |          2 |          4 |
| /home/christian/src/micro/kernel/arch/amd64/include/arch/timer.h                 | C++              |          6 |          0 |          4 |         10 |
