"filename", "language", "Makefile", "C", "LinkerScript", "GAS/AT&T x86/x64", "Shell Script", "Properties", "C++", "Markdown", "Diff", "comment", "blank", "total"
"/home/christian/src/micro/kernel/arch/amd64/include/arch/cpu.h", "C++", 0, 0, 0, 0, 0, 0, 36, 0, 0, 1, 11, 48
"/home/christian/src/micro/kernel/arch/amd64/include/arch/cpu_func.h", "C++", 0, 0, 0, 0, 0, 0, 83, 0, 0, 2, 20, 105
"/home/christian/src/micro/kernel/arch/amd64/include/arch/descs.h", "C++", 0, 0, 0, 0, 0, 0, 71, 0, 0, 7, 11, 89
"/home/christian/src/micro/kernel/arch/amd64/include/arch/except.h", "C++", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 4, 8
"/home/christian/src/micro/kernel/arch/amd64/include/arch/fpu.h", "C++", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 3, 7
"/home/christian/src/micro/kernel/arch/amd64/include/arch/intr_stubs.h", "C++", 0, 0, 0, 0, 0, 0, 52, 0, 0, 1, 4, 57
"/home/christian/src/micro/kernel/arch/amd64/include/arch/ioapic.h", "C++", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 3, 7
"/home/christian/src/micro/kernel/arch/amd64/include/arch/lapic.h", "C++", 0, 0, 0, 0, 0, 0, 22, 0, 0, 1, 9, 32
"/home/christian/src/micro/kernel/arch/amd64/include/arch/mmu.h", "C++", 0, 0, 0, 0, 0, 0, 35, 0, 0, 1, 13, 49
"/home/christian/src/micro/kernel/arch/amd64/include/arch/mmu_defs.h", "C++", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 8, 29
"/home/christian/src/micro/kernel/arch/amd64/include/arch/panic.h", "C++", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"/home/christian/src/micro/kernel/arch/amd64/include/arch/pic.h", "C++", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 2, 5
"/home/christian/src/micro/kernel/arch/amd64/include/arch/pio.h", "C++", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 7, 40
"/home/christian/src/micro/kernel/arch/amd64/include/arch/reg.h", "C++", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 2, 27
"/home/christian/src/micro/kernel/arch/amd64/include/arch/smp.h", "C++", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 4
"/home/christian/src/micro/kernel/arch/amd64/include/arch/timer.h", "C++", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 4, 10
"/home/christian/src/micro/kernel/dev/Makefile", "Makefile", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"/home/christian/src/micro/kernel/dev/ahci/Makefile", "Makefile", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/christian/src/micro/kernel/dev/ahci/ahci.c", "C", 0, 260, 0, 0, 0, 0, 0, 0, 0, 3, 76, 339
"/home/christian/src/micro/kernel/dev/ahci/ahci_defs.h", "C++", 0, 0, 0, 0, 0, 0, 218, 0, 0, 5, 64, 287
"/home/christian/src/micro/kernel/dev/ext2/Makefile", "Makefile", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/christian/src/micro/kernel/dev/ext2/ext2.c", "C", 0, 458, 0, 0, 0, 0, 0, 0, 0, 53, 147, 658
"/home/christian/src/micro/kernel/dev/ext2/ext2.h", "C++", 0, 0, 0, 0, 0, 0, 138, 0, 0, 0, 21, 159
"/home/christian/src/micro/kernel/dev/fat/Makefile", "Makefile", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/christian/src/micro/kernel/dev/fat/fat.c", "C", 0, 420, 0, 0, 0, 0, 0, 0, 0, 18, 132, 570
"/home/christian/src/micro/kernel/dev/fat/fat.h", "C++", 0, 0, 0, 0, 0, 0, 70, 0, 0, 2, 11, 83
"/home/christian/src/micro/kernel/dev/linker.ld", "LinkerScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 1, 22
"/home/christian/src/micro/kernel/dev/module.mk", "Makefile", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 20
"/home/christian/src/micro/kernel/dev/test/Makefile", "Makefile", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/christian/src/micro/kernel/dev/test/test.c", "C", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"/home/christian/src/micro/kernel/include/micro/acpi.h", "C++", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 2, 6
"/home/christian/src/micro/kernel/include/micro/acpi_defs.h", "C++", 0, 0, 0, 0, 0, 0, 83, 0, 0, 1, 13, 97
"/home/christian/src/micro/kernel/include/micro/binfmt.h", "C++", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 3, 8
"/home/christian/src/micro/kernel/include/micro/debug.h", "C++", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"/home/christian/src/micro/kernel/include/micro/dev.h", "C++", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"/home/christian/src/micro/kernel/include/micro/elf.h", "C++", 0, 0, 0, 0, 0, 0, 83, 0, 0, 4, 13, 100
"/home/christian/src/micro/kernel/include/micro/fbdev.h", "C++", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 5, 20
"/home/christian/src/micro/kernel/include/micro/heap.h", "C++", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 2, 8
"/home/christian/src/micro/kernel/include/micro/init.h", "C++", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 3, 11
"/home/christian/src/micro/kernel/include/micro/ksym.h", "C++", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 2, 5
"/home/christian/src/micro/kernel/include/micro/list.h", "C++", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 5, 28
"/home/christian/src/micro/kernel/include/micro/lock.h", "C++", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 6, 14
"/home/christian/src/micro/kernel/include/micro/module.h", "C++", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 5, 22
"/home/christian/src/micro/kernel/include/micro/pci.h", "C++", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 6, 27
"/home/christian/src/micro/kernel/include/micro/pci_ids.h", "C++", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 3, 7
"/home/christian/src/micro/kernel/include/micro/platform.h", "C++", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"/home/christian/src/micro/kernel/include/micro/ps2.h", "C++", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 3, 8
"/home/christian/src/micro/kernel/include/micro/ringbuf.h", "C++", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 4, 19
"/home/christian/src/micro/kernel/include/micro/sched.h", "C++", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 3, 14
"/home/christian/src/micro/kernel/include/micro/stdlib.h", "C++", 0, 0, 0, 0, 0, 0, 105, 0, 0, 3, 25, 133
"/home/christian/src/micro/kernel/include/micro/sys.h", "C++", 0, 0, 0, 0, 0, 0, 47, 0, 0, 2, 9, 58
"/home/christian/src/micro/kernel/include/micro/task.h", "C++", 0, 0, 0, 0, 0, 0, 32, 0, 0, 1, 16, 49
"/home/christian/src/micro/kernel/include/micro/thread.h", "C++", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 6, 28
"/home/christian/src/micro/kernel/include/micro/tree.h", "C++", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 3, 12
"/home/christian/src/micro/kernel/include/micro/tty.h", "C++", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 3, 12
"/home/christian/src/micro/kernel/include/micro/types.h", "C++", 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 11, 52
"/home/christian/src/micro/kernel/include/micro/vfs.h", "C++", 0, 0, 0, 0, 0, 0, 85, 0, 0, 2, 24, 111
"/home/christian/src/micro/kernel/include/micro/vga.h", "C++", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 3, 28
"/home/christian/src/micro/kernel/include/uapi/micro/errno.h", "C++", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 1, 21
"/home/christian/src/micro/kernel/include/uapi/micro/fb.h", "C++", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
"/home/christian/src/micro/kernel/include/uapi/micro/fcntl.h", "C++", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 2, 11
"/home/christian/src/micro/kernel/include/uapi/micro/fs.h", "C++", 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 3, 16
"/home/christian/src/micro/kernel/include/uapi/micro/ioctls.h", "C++", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"/home/christian/src/micro/kernel/include/uapi/micro/mman.h", "C++", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 3, 12
"/home/christian/src/micro/kernel/include/uapi/micro/signal.h", "C++", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 1, 32
"/home/christian/src/micro/kernel/include/uapi/micro/termios.h", "C++", 0, 0, 0, 0, 0, 0, 82, 0, 0, 6, 9, 97
"/home/christian/src/micro/kernel/include/uapi/micro/wait.h", "C++", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"/home/christian/src/micro/kernel/kern/acpi.c", "C", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 7, 48
"/home/christian/src/micro/kernel/kern/binfmt.c", "C", 0, 88, 0, 0, 0, 0, 0, 0, 0, 10, 32, 130
"/home/christian/src/micro/kernel/kern/debug/kasan.c", "C", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 28, 71
"/home/christian/src/micro/kernel/kern/debug/serial.c", "C", 0, 58, 0, 0, 0, 0, 0, 0, 0, 10, 19, 87
"/home/christian/src/micro/kernel/kern/debug/ubsan.c", "C", 0, 158, 0, 0, 0, 0, 0, 0, 0, 3, 36, 197
"/home/christian/src/micro/kernel/kern/dev.c", "C", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23
"/home/christian/src/micro/kernel/kern/exec.c", "C", 0, 40, 0, 0, 0, 0, 0, 0, 0, 1, 10, 51
"/home/christian/src/micro/kernel/kern/exit.c", "C", 0, 20, 0, 0, 0, 0, 0, 0, 0, 1, 9, 30
"/home/christian/src/micro/kernel/kern/fbdev.c", "C", 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 17, 90
"/home/christian/src/micro/kernel/kern/fork.c", "C", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 5, 18
"/home/christian/src/micro/kernel/kern/fs/fcntl.c", "C", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 7, 31
"/home/christian/src/micro/kernel/kern/fs/ioctl.c", "C", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"/home/christian/src/micro/kernel/kern/fs/mount.c", "C", 0, 17, 0, 0, 0, 0, 0, 0, 0, 1, 4, 22
"/home/christian/src/micro/kernel/kern/fs/open.c", "C", 0, 72, 0, 0, 0, 0, 0, 0, 0, 4, 27, 103
"/home/christian/src/micro/kernel/kern/fs/readdir.c", "C", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"/home/christian/src/micro/kernel/kern/fs/readwr.c", "C", 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 18, 74
"/home/christian/src/micro/kernel/kern/fs/vfs.c", "C", 0, 314, 0, 0, 0, 0, 0, 0, 0, 18, 82, 414
"/home/christian/src/micro/kernel/kern/heap.c", "C", 0, 129, 0, 0, 0, 0, 0, 0, 0, 11, 29, 169
"/home/christian/src/micro/kernel/kern/init.c", "C", 0, 130, 0, 0, 0, 0, 0, 0, 0, 5, 37, 172
"/home/christian/src/micro/kernel/kern/kern.mk", "Makefile", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36
"/home/christian/src/micro/kernel/kern/ksym.c", "C", 0, 41, 0, 0, 0, 0, 0, 0, 0, 3, 4, 48
"/home/christian/src/micro/kernel/kern/list.c", "C", 0, 82, 0, 0, 0, 0, 0, 0, 0, 12, 25, 119
"/home/christian/src/micro/kernel/kern/mm/mmap.c", "C", 0, 56, 0, 0, 0, 0, 0, 0, 0, 5, 14, 75
"/home/christian/src/micro/kernel/kern/module.c", "C", 0, 128, 0, 0, 0, 0, 0, 0, 0, 9, 33, 170
"/home/christian/src/micro/kernel/kern/pci.c", "C", 0, 139, 0, 0, 0, 0, 0, 0, 0, 1, 21, 161
"/home/christian/src/micro/kernel/kern/ps2.c", "C", 0, 41, 0, 0, 0, 0, 0, 0, 0, 5, 11, 57
"/home/christian/src/micro/kernel/kern/ringbuf.c", "C", 0, 62, 0, 0, 0, 0, 0, 0, 0, 3, 13, 78
"/home/christian/src/micro/kernel/kern/sched.c", "C", 0, 114, 0, 0, 0, 0, 0, 0, 0, 1, 27, 142
"/home/christian/src/micro/kernel/kern/signal.c", "C", 0, 11, 0, 0, 0, 0, 0, 0, 0, 1, 4, 16
"/home/christian/src/micro/kernel/kern/stdlib.c", "C", 0, 140, 0, 0, 0, 0, 0, 0, 0, 0, 41, 181
"/home/christian/src/micro/kernel/kern/sys.c", "C", 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 11, 86
"/home/christian/src/micro/kernel/kern/task.c", "C", 0, 145, 0, 0, 0, 0, 0, 0, 0, 22, 48, 215
"/home/christian/src/micro/kernel/kern/thread.c", "C", 0, 102, 0, 0, 0, 0, 0, 0, 0, 7, 21, 130
"/home/christian/src/micro/kernel/kern/time.c", "C", 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 1, 9
"/home/christian/src/micro/kernel/kern/tree.c", "C", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"/home/christian/src/micro/kernel/kern/tty.c", "C", 0, 87, 0, 0, 0, 0, 0, 0, 0, 4, 35, 126
"/home/christian/src/micro/kernel/kern/vga.c", "C", 0, 139, 0, 0, 0, 0, 0, 0, 0, 0, 32, 171
"/home/christian/src/micro/kernel/kernel.ld", "LinkerScript", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 14, 56
"/home/christian/src/micro/kernel/tools/mkinitrd.c", "C", 0, 34, 0, 0, 0, 0, 0, 0, 0, 3, 11, 48
"/home/christian/src/micro/share/subdir.mk", "Makefile", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"/home/christian/src/micro/toolchain/binutils.patch", "Diff", 0, 0, 0, 0, 0, 0, 0, 0, 133, 2, 3, 138
"/home/christian/src/micro/toolchain/gcc.patch", "Diff", 0, 0, 0, 0, 0, 0, 0, 0, 115, 3, 5, 123
"/home/christian/src/micro/toolchain/toolchain.sh", "Shell Script", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 3
"/home/christian/src/micro/usr/Makefile", "Makefile", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"/home/christian/src/micro/usr/apps/Makefile", "Makefile", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"/home/christian/src/micro/usr/apps/binutils/Makefile", "Makefile", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"/home/christian/src/micro/usr/apps/binutils/ld/main.c", "C", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/christian/src/micro/usr/apps/coreutils/Makefile", "Makefile", 26, 0, 0, 0, 0, 0, 0, 0, 0, 8, 8, 42
"/home/christian/src/micro/usr/apps/coreutils/cat.c", "C", 0, 29, 0, 0, 0, 0, 0, 0, 0, 21, 9, 59
